Country,Net migration,"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","Population age distribution (0-14   60+ years, %)",Health: Physicians (per 1000 pop.),Mobile-cellular subscriptions (per 100 inhabitants),activeondateimp,Sevendaypred,twelvedaypred,thirtydaypred,Weekend,Weekday,CATEGORY
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,12,21.0,58.0,1323.0,0,1,1
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,24,93.0,264.0,1769.0,0,1,1
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,24,93.0,264.0,1769.0,0,1,2
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,24,93.0,264.0,1769.0,0,1,1
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,90,440.0,898.0,2254.0,0,1,1
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,60,264.0,524.0,1931.0,0,1,2
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,90,440.0,898.0,2254.0,0,1,2
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,90,440.0,898.0,2254.0,0,1,1
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,74,310.0,603.0,1931.0,0,1,1
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,60,264.0,524.0,1931.0,0,1,2
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,201,524.0,1203.0,2301.0,1,0,2
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,230,603.0,1323.0,2443.0,0,1,3
Algeria,-0.39,17.3,102.0,3.117021277,1.13,113.0,230,603.0,1323.0,2443.0,0,1,2
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,19,98.0,371.0,1850.0,0,1,2
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,19,81.0,343.0,1812.0,0,1,2
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,19,98.0,371.0,1850.0,0,1,1
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,19,98.0,371.0,1850.0,0,1,1
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,45,263.0,622.0,2177.0,1,0,2
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,97,468.0,1021.0,2412.0,0,1,2
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,97,468.0,1021.0,2412.0,0,1,1
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,56,343.0,699.0,2271.0,0,1,1
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,56,343.0,699.0,2271.0,0,1,2
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,68,371.0,747.0,2271.0,0,1,2
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,79,405.0,788.0,2412.0,0,1,1
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,97,468.0,1021.0,2412.0,0,1,3
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,0,0.0,0.0,81.0,0,1,1
Argentina,0.61,16.2,95.9,1.616883117,3.8,143.9,128,622.0,1123.0,2412.0,0,1,2
