,C1,C2,C3
0,0,1,0
1,0,1,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,0,1,0
7,1,0,0
8,0,0,1
9,0,1,0
10,0,1,0
11,1,0,0
12,1,0,0
13,0,1,0
14,1,0,0
15,1,0,0
16,1,0,0
17,0,1,0
18,1,0,0
19,1,0,0
20,0,1,0
21,1,0,0
22,0,1,0
23,0,1,0
24,0,1,0
25,0,1,0
26,1,0,0
27,0,1,0
28,1,0,0
29,1,0,0
30,0,1,0
31,1,0,0
32,1,0,0
33,0,1,0
34,1,0,0
35,0,1,0
36,1,0,0
37,1,0,0
38,1,0,0
39,0,0,1
40,0,1,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,0,1,0
46,0,1,0
47,0,1,0
48,1,0,0
49,0,1,0
50,1,0,0
51,1,0,0
52,0,1,0
53,1,0,0
54,0,1,0
55,0,1,0
56,1,0,0
57,0,1,0
58,1,0,0
59,0,1,0
60,1,0,0
61,0,1,0
62,1,0,0
63,0,1,0
64,0,0,1
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,1,0,0
70,0,0,1
71,1,0,0
72,0,1,0
73,1,0,0
74,0,1,0
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,1,0,0
81,1,0,0
82,1,0,0
83,0,1,0
84,1,0,0
85,0,1,0
86,0,1,0
87,1,0,0
88,0,1,0
89,1,0,0
90,1,0,0
91,1,0,0
92,1,0,0
93,0,1,0
94,1,0,0
95,1,0,0
96,0,1,0
97,1,0,0
98,0,1,0
99,1,0,0
100,1,0,0
101,1,0,0
102,0,1,0
103,1,0,0
104,0,1,0
105,0,1,0
106,0,1,0
107,1,0,0
108,1,0,0
109,1,0,0
110,1,0,0
111,0,1,0
112,1,0,0
113,0,1,0
114,0,1,0
115,0,1,0
116,0,1,0
117,1,0,0
118,1,0,0
119,1,0,0
120,0,1,0
121,1,0,0
122,1,0,0
123,1,0,0
124,1,0,0
125,1,0,0
126,0,1,0
127,0,1,0
128,0,1,0
129,0,1,0
130,0,1,0
131,0,1,0
132,0,1,0
133,0,1,0
134,1,0,0
135,0,0,1
136,0,1,0
137,1,0,0
138,0,1,0
139,1,0,0
140,0,1,0
141,0,1,0
142,1,0,0
143,1,0,0
144,0,1,0
145,1,0,0
146,1,0,0
147,0,1,0
148,0,1,0
149,1,0,0
150,1,0,0
151,1,0,0
152,0,1,0
153,1,0,0
154,1,0,0
155,1,0,0
156,0,1,0
157,1,0,0
158,0,1,0
159,1,0,0
160,1,0,0
161,1,0,0
162,0,1,0
163,0,1,0
164,0,1,0
165,0,1,0
166,0,1,0
167,0,1,0
168,1,0,0
169,0,1,0
170,1,0,0
171,1,0,0
172,1,0,0
173,0,1,0
174,1,0,0
175,1,0,0
176,0,1,0
177,1,0,0
178,1,0,0
179,1,0,0
180,0,1,0
181,0,1,0
182,1,0,0
183,1,0,0
184,0,1,0
185,0,0,1
186,1,0,0
187,0,1,0
188,1,0,0
189,0,1,0
190,1,0,0
191,1,0,0
192,1,0,0
193,1,0,0
194,0,1,0
195,0,1,0
196,1,0,0
197,1,0,0
198,1,0,0
199,0,1,0
200,0,1,0
201,0,1,0
202,0,1,0
203,0,1,0
204,1,0,0
205,0,1,0
206,0,1,0
207,0,1,0
208,1,0,0
209,1,0,0
210,1,0,0
211,0,1,0
212,0,1,0
213,1,0,0
214,1,0,0
215,1,0,0
216,1,0,0
217,1,0,0
218,0,1,0
219,0,1,0
220,0,1,0
221,0,1,0
222,1,0,0
223,0,1,0
224,1,0,0
225,1,0,0
226,1,0,0
227,1,0,0
228,1,0,0
229,1,0,0
230,0,1,0
231,0,1,0
232,1,0,0
233,1,0,0
234,0,1,0
235,1,0,0
236,0,1,0
237,1,0,0
238,1,0,0
239,0,0,1
240,0,0,1
241,0,1,0
242,1,0,0
243,0,1,0
244,1,0,0
245,0,1,0
246,1,0,0
247,0,1,0
248,1,0,0
249,0,1,0
250,0,1,0
251,1,0,0
252,0,0,1
253,0,1,0
254,0,1,0
255,1,0,0
256,1,0,0
257,0,0,1
258,1,0,0
259,1,0,0
260,0,0,1
261,0,1,0
262,1,0,0
263,1,0,0
264,1,0,0
265,1,0,0
266,1,0,0
267,1,0,0
268,1,0,0
269,1,0,0
270,1,0,0
271,0,1,0
272,0,1,0
273,1,0,0
274,0,1,0
275,0,1,0
276,1,0,0
277,0,1,0
278,0,1,0
279,0,1,0
280,1,0,0
281,1,0,0
282,1,0,0
283,1,0,0
284,0,1,0
285,1,0,0
286,1,0,0
287,0,1,0
288,1,0,0
289,1,0,0
290,1,0,0
291,1,0,0
292,1,0,0
293,0,1,0
294,1,0,0
295,0,1,0
296,1,0,0
297,1,0,0
298,0,1,0
299,0,1,0
300,0,1,0
301,0,1,0
302,0,1,0
303,1,0,0
304,0,1,0
305,1,0,0
306,0,1,0
307,1,0,0
308,1,0,0
309,0,1,0
310,0,1,0
311,0,1,0
312,0,1,0
313,1,0,0
314,1,0,0
315,0,1,0
316,1,0,0
317,1,0,0
318,1,0,0
319,1,0,0
320,0,1,0
321,1,0,0
322,1,0,0
323,1,0,0
324,0,1,0
325,0,1,0
326,1,0,0
327,0,1,0
328,0,0,1
329,0,1,0
330,0,1,0
331,0,1,0
332,1,0,0
333,1,0,0
334,0,1,0
335,0,1,0
336,1,0,0
337,1,0,0
338,1,0,0
339,0,1,0
340,1,0,0
341,1,0,0
342,1,0,0
343,1,0,0
344,0,1,0
345,1,0,0
346,0,1,0
347,0,1,0
348,0,1,0
