,date,Afghanistan_nan,Algeria_nan,Argentina_nan,Armenia_nan,Australia_New South Wales,Australia_Queensland,Australia_Victoria,Austria_nan,Azerbaijan_nan,Bahrain_nan,Bangladesh_nan,Belarus_nan,Belgium_nan,Bolivia_nan,Bosnia and Herzegovina_nan,Brazil_nan,Bulgaria_nan,Cameroon_nan,Canada_Alberta,Canada_British Columbia,Canada_Ontario,Canada_Quebec,Chile_nan,China_Guangdong,China_Henan,China_Hong Kong,China_Hubei,China_Hunan,China_Zhejiang,Colombia_nan,Cote d'Ivoire_nan,Croatia_nan,Cuba_nan,Czechia_nan,Denmark_nan,Djibouti_nan,Dominican Republic_nan,Ecuador_nan,Egypt_nan,Estonia_nan,Finland_nan,France_nan,Germany_nan,Ghana_nan,Greece_nan,Guinea_nan,Hungary_nan,Iceland_nan,India_nan,Indonesia_nan,Iran_nan,Iraq_nan,Ireland_nan,Israel_nan,Italy_nan,Japan_nan,Kazakhstan_nan,"Korea, South_nan",Kuwait_nan,Lithuania_nan,Luxembourg_nan,Malaysia_nan,Mexico_nan,Moldova_nan,Morocco_nan,Netherlands_nan,New Zealand_nan,Nigeria_nan,North Macedonia_nan,Norway_nan,Oman_nan,Pakistan_nan,Panama_nan,Peru_nan,Philippines_nan,Poland_nan,Portugal_nan,Qatar_nan,Romania_nan,Russia_nan,Saudi Arabia_nan,Serbia_nan,Singapore_nan,Slovakia_nan,Slovenia_nan,South Africa_nan,Spain_nan,Sweden_nan,Switzerland_nan,Thailand_nan,Turkey_nan,Ukraine_nan,United Arab Emirates_nan,United Kingdom_nan,Unites States_nan,Uzbekistan_nan
0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,444,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
1,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,2,444,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0
2,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9,2,549,24,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,2,0
3,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,32,5,761,43,62,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,2,0
4,2020-01-26,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111,83,8,1058,69,104,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,5,0
5,2020-01-27,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,151,128,8,1423,100,128,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,5,0
6,2020-01-28,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,207,168,8,3554,143,173,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,0,0,0,0,5,0
7,2020-01-29,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,277,206,10,3554,221,296,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,0,0,4,0,5,0
8,2020-01-30,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,354,278,10,4903,277,428,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,11,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0,0,4,0,5,0
9,2020-01-31,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,436,352,12,5806,332,538,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,1,0,0,0,0,0,2,15,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,13,0,0,0,0,1,0,19,0,0,4,2,7,0
